毒性,PN,ID,BP,BPP,MaxM,MaxMP,MinM,MM,MSD,IM,ISD,RETENTION_TIME,COLLISION_ENERGY,PRECURSOR_TYPE
0,1,999,77,0,77,0,77,77,0,172886,0,,50,1
0,4,249.75,45,1,91,1,44,67.5,23.00543414,139934,141297.4184,,10,0
0,2,499.5,45,1,45,1,44,44.5,0.5,58935,40982,,20,0
0,4,249.75,194.9175,35.9765,366.8653,63.9713,158.941,255.90445,83.128886,56412.125,57173.55383,17.02,,0
0,3,333,402.8427,35.9768,402.8427,35.9768,194.9176,321.5420667,90.73367329,207701.9333,140391.3313,20.867,15,0
0,4,249.75,194.9177,0,402.842,35.976,194.9177,316.8801,78.99122875,116076.125,126906.0365,20.867,30,0
0,5,199.8,402.8425,35.9768,402.8425,35.9768,158.941,285.29222,94.77798998,1533915.08,1300175.039,14.274,35,0
0,4,249.75,194.9177,35.9766,366.8656,63.9713,158.9411,255.904675,83.12896266,80533.575,111510.9556,20.867,45,0
0,4,249.75,194.9177,35.9767,302.8941,107.9764,132.9619,197.428675,64.74281248,57141.675,54392.61089,20.867,60,0
0,4,249.75,158.941,25.9796,194.9176,35.9766,122.9643,152.446075,27.81565253,34510.625,36803.10257,20.867,75,0
0,3,333,158.9409,35.9765,194.9179,35.977,122.9644,158.9410667,29.37489337,17350.23333,17172.09905,20.867,90,0
0,6,166.5,280.9451,12.0001,297.9718,11.0158,216.9831,264.1298667,29.34135403,113595.5,183434.5042,2.2,15,1
0,1,999,295.9571,0,295.9571,0,295.9571,295.9571,0,185963.9,0,2.2,15,0
0,5,199.8,280.9454,12.0003,297.9711,17.0257,216.9829,259.5646,30.13374693,46252.12,69549.07582,2.2,15,1
0,1,999,295.9572,0,295.9572,0,295.9572,295.9572,0,299076.6,0,2.2,15,0
0,12,83.25,280.9452,12,286.9559,6.0107,156.0213,229.1375833,37.21520331,57800.03333,88890.09768,2.2,30,1
0,3,333,295.957,27.0109,295.957,27.0109,204.9843,256.6291333,38.14698579,53836.36667,45688.4317,2.2,30,0
0,8,124.875,280.9453,11.9989,286.9561,6.0108,204.9832,243.4706625,29.18704241,30695.1,36520.02159,2.2,30,1
0,3,333,295.9571,27.011,295.9571,27.011,204.9842,256.6291333,38.14706528,92806.43333,78366.77005,2.2,30,0
0,3,333,280.9451,12,286.9556,6.0105,268.9451,278.9486,7.487057132,735306.9333,862744.4915,2.2,35,1
0,3,333,268.9462,36.9511,268.9462,36.9511,204.9843,235.3085333,26.21723725,501414.9667,431381.1147,2.2,35,0
0,2,499.5,280.9452,12.0002,280.9452,12.0002,268.945,274.9451,6.0001,145095.5,117459.1,2.2,35,1
0,5,199.8,268.9464,36.9512,268.9464,36.9512,204.9846,227.57596,22.41661917,558377.82,724296.5658,2.2,35,0
0,34,29.38235294,232.9782,12.0001,280.9453,27.9951,107.9903,169.9570441,41.12823909,18013.95,31753.94247,2.2,45,1
0,4,249.75,204.9845,127.0189,295.9571,27.0109,77.9656,211.96335,84.12207883,30703.625,18479.92212,2.2,45,0
0,19,52.57894737,232.9781,11.9998,280.9458,27.9947,107.9907,182.1931789,48.41959,12016.70526,14237.89139,2.2,45,1
0,5,199.8,204.9847,78.9733,295.9559,27.0092,77.9656,194.77286,82.72378397,42021.76,34672.3971,2.2,45,0
0,42,23.78571429,139.9898,8.0229,234.9941,2.0157,90.0338,148.1572143,40.16736974,12921.6,19390.49146,2.2,60,1
0,4,249.75,77.9655,0,204.9841,78.9723,77.9655,132.500575,45.82947783,17209.2,11104.70777,2.2,60,0
0,26,38.42307692,139.9899,8.0231,232.9778,11.9986,90.0336,152.4514077,35.95240886,9241.061538,11119.18107,2.2,60,1
0,6,166.5,77.9656,0,268.9453,63.961,77.9656,164.8201667,63.31707657,23254.28333,20707.88788,2.2,60,0
0,37,27,139.9898,8.0229,203.9518,31.9899,63.023,127.7532838,29.52060332,14668.87027,25818.4318,2.2,75,1
0,5,199.8,77.9655,0,204.9839,2.0148,77.9655,146.59406,49.74742854,7409.96,6384.793297,2.2,75,0
0,22,45.40909091,139.9898,10.9683,171.9613,2.9451,90.0341,128.9978727,23.58797679,10673.14091,15304.20851,2.2,75,1
0,6,166.5,77.9656,0,204.9845,2.0166,77.9656,142.8277167,46.18710419,11875.26667,11360.54372,2.2,75,0
0,32,31.21875,139.9897,8.0228,171.9618,15.9771,63.0228,118.6533625,26.00322602,13763.4375,16619.02254,2.2,90,1
0,3,333,77.9656,0,126.0114,2.0155,77.9656,109.3243,22.18921073,3971.233333,2805.859957,2.2,90,0
0,24,41.625,139.9898,8.0238,171.9618,27.9952,76.0181,116.37055,21.71789783,10549.0375,10843.19118,2.2,90,1
0,2,499.5,77.9656,0,123.9959,46.0303,77.9656,100.98075,23.01515,13314.6,6877.6,2.2,90,0
0,4,249.75,295.9571,27.0107,295.9571,27.0107,204.9844,250.470725,34.71569909,788820.95,1109843.742,8.152,15,0
0,7,142.7142857,268.9464,36.9512,295.9571,27.0107,77.9656,203.2635286,71.30468008,326235.7571,350727.3865,8.152,30,0
0,14,71.35714286,204.9843,1.0079,295.9572,27.0109,77.9655,170.3444143,68.43780055,227076.7071,374694.7033,8.152,45,0
0,19,52.57894737,77.9655,1.9463,268.9462,63.9619,63.9624,130.2587053,56.91625337,131933.4105,300984.5663,8.152,60,0
0,20,49.95,77.9655,1.9462,204.9846,2.0157,61.9706,115.301245,43.78925036,76364.68,180919.3049,8.152,75,0
0,17,58.76470588,77.9656,1.9463,202.9689,23.9768,61.9706,106.2365471,36.96489181,72618.29412,152676.1201,8.152,90,0
0,1,999,295.9589,0,295.9589,0,295.9589,295.9589,0,323.2,0,5.446,10,0
0,3,333,297.9715,17.0265,297.9715,17.0265,268.945,282.6205,11.90909738,8.166666667,4.458200933,5.446,10,1
0,5,199.8,77.9658,14.003,123.9978,46.032,47.9702,75.17374,26.19765446,3.52,2.98288451,5.446,100,0
0,5,199.8,77.9653,14.0016,115.0364,37.0711,47.9704,73.3816,22.8942482,3.08,2.464467488,5.446,110,0
0,5,199.8,77.9659,14.0023,79.9817,2.0158,47.9697,66.37034,11.69151859,2.86,1.809530326,5.446,120,0
0,5,199.8,63.9629,1.9708,77.9655,14.0026,47.9694,62.77232,9.514477131,2.74,1.873606149,5.446,130,0
0,6,166.5,63.963,1.98,78.9719,1.0068,47.9705,65.47078333,10.57775294,1.883333333,1.553937651,5.446,140,0
0,4,249.75,63.9638,1.9926,77.9655,14.0017,47.9692,62.967425,10.62866683,2.65,1.484082208,5.446,150,0
0,3,333,295.9571,27.011,295.9571,27.011,204.9841,256.6291,38.14711041,114.4666667,109.6180439,5.446,20,0
0,9,111,280.9452,12.0014,297.9741,17.0289,204.9815,246.1801,29.56661672,2.8,2.623398983,5.446,20,1
0,5,199.8,268.9475,63.9623,295.958,27.0105,77.9657,194.77358,82.72440863,48.76,33.47133699,5.446,30,0
0,7,142.7142857,232.9788,12.0024,280.9449,27.9937,204.983,235.5289,23.52101613,1.585714286,0.997752577,5.446,30,1
0,11,90.81818182,77.9655,0,295.9569,27.0091,77.9655,172.2538182,69.19601879,8.690909091,8.767134345,5.446,40,0
0,10,99.9,204.9846,1.0072,295.9539,27.0079,77.9656,177.0794,70.78552201,11.43,12.59579692,5.446,40,0
0,9,111,77.9653,0,204.9852,2.0172,77.9653,126.0004222,44.98733815,6.7,8.866165399,5.446,50,0
0,9,111,77.9659,14.0031,178.9934,52.9819,63.9628,108.8972556,31.89933079,4.911111111,6.775846719,5.446,60,0
0,11,90.81818182,77.9659,14.003,178.9908,54.9952,61.9714,100.9121545,32.04915439,2.827272727,3.902700908,5.446,70,0
0,10,99.9,77.9658,14.0025,178.9921,54.9963,47.9701,93.39348,36.16369804,2.91,4.085939304,5.446,80,0
0,8,124.875,77.9651,14.0024,178.9916,54.9967,47.9709,93.6076625,40.45679056,3.05,3.709110405,5.446,90,0
0,5,199.8,295.957,27.0109,295.957,27.0109,77.9654,215.96974,75.66660034,15941.2,23424.33809,,10,0
0,12,83.25,268.9463,36.9515,295.9566,27.0103,77.9655,182.1510167,66.95828889,6444,9041.393311,,20,0
0,20,49.95,77.9655,1.946,204.984,1.0074,34.9683,117.54931,52.08042814,2477.5,5408.500129,,40,0
0,3,333,156,47.9,156,47.9,92.1,118.7333333,27.14901267,882525.4733,888101.6577,,0.75,1
0,10,99.9,65.0386,12,110.06,2.0157,53.0022,78.64201,20.14132679,20929821,29332426.79,3.8,120,1
0,15,66.6,65.0386,11.0048,108.0443,14.987,51.0229,69.89858667,16.62746004,9120744.667,16433859.83,3.8,150,1
0,5,199.8,249.0692,93.0579,249.0692,93.0579,92.0493,139.64628,59.4573511,1731815.88,1957254.158,10.889,15,1
0,4,249.75,249.069,93.0578,249.069,93.0578,92.0493,151.29345,61.16100397,102021003.1,100236151.7,3.8,15,1
0,20,49.95,65.0386,1.0204,108.0443,14.987,50.0151,66.97843,15.54927206,3560214,6154380.064,3.8,180,1
0,7,142.7142857,156.0113,45.9513,249.0692,93.0579,68.0494,125.1915571,56.3341543,1390839.7,1895426.322,10.889,30,1
0,5,199.8,156.0112,47.9669,249.0691,93.0579,92.0494,139.64624,59.45730341,82380425.4,81050303,3.8,30,1
0,12,83.25,108.0443,11.9999,156.0113,35.9557,65.0385,94.54128333,25.16567195,709778.9667,981943.8881,10.889,45,1
0,9,111,108.0443,14.9871,249.069,93.0578,65.0385,117.9371556,53.1097863,41755516.62,51184278.73,3.8,45,1
0,13,76.84615385,108.0443,11.9999,156.0113,35.9557,65.0385,93.42651538,24.48484166,670300.7462,930909.2066,10.889,60,1
0,9,111,92.0494,12,156.0113,35.9557,65.0385,99.15723333,26.7739574,39588021.23,50236579.83,3.8,60,1
0,12,83.25,108.0443,11.9999,120.0556,9.9956,53.0386,85.87925833,19.87901685,726893.2083,852348.1461,10.889,75,1
0,8,124.875,92.0494,12,110.06,2.0157,65.0385,85.2993125,17.11167247,44569393.73,41356796.56,3.8,75,1
0,9,111,65.0385,11.9999,110.06,2.0156,53.0386,81.71483333,19.05429503,980271.9111,962422.6086,10.889,90,1
0,8,124.875,65.0385,12,110.06,2.0157,53.0385,83.4229625,19.54965235,38040741.83,33078636.33,3.8,90,1
0,5,199.8,249.4,17.1,249.4,17.1,128.9,191.18,45.15251488,2427725.2,3923146.283,,10,1
0,4,249.75,247.2,36.1,247.2,36.1,165.2,206.7,29.12653429,4960401,7267553.195,,10,0
0,15,66.6,156.1,18,249.3,16.8,43.6,139.1866667,51.60311188,391419.5333,689672.8606,,20,1
0,7,142.7142857,247.3,35.9,247.3,35.9,95,159.4,50.65398024,1874117.857,3412753.235,,20,0
0,16,62.4375,91.9,9,249.5,93.3,62.9,108.48125,44.26862911,361077.0938,710645.6733,,30,1
0,17,58.76470588,107.2,10.5,247.3,36.4,59.1,142.6294118,45.98595393,542807.7647,833821.8602,,30,0
0,11,90.81818182,92.1,12.3,136.9,26.8,57.1,92.44545455,22.36675145,408191.2273,642547.6597,,40,1
0,15,66.6,107.2,12.2,247.6,36.1,59,128.1,52.15306958,462046.6667,839436.3935,,40,0
0,4,249.75,92.1,12.2,108.1,16,65,86.275,15.83925109,368812.25,137214.608,,50,1
0,9,111,91.1,27.3,165.5,10.2,59,114.2,36.2381015,452145.6667,666025.747,,50,0
0,21,47.57142857,156.0116,35.9557,251.0672,0.9951,60.0555,121.092519,59.72393854,16972.95238,26505.73377,4.2,24.7,1
0,39,25.61538462,104.0495,1.0078,210.0776,15.0109,53.0386,117.4789103,40.37538836,10377478.16,19799877.15,4.5,120,1
0,41,24.36585366,89.0386,1.0204,142.0526,1.0078,50.0151,91.10867317,27.07090454,8397786.19,14408803.28,4.5,150,1
0,1,999,254.1146,0,254.1146,0,254.1146,254.1146,0,27703994,0,11.875,15,1
0,1,999,254.1149,0,254.1149,0,254.1149,254.1149,0,638295872,0,4.5,15,1
0,41,24.36585366,89.0386,1.0078,142.0527,1.008,50.0152,85.0562122,23.81925761,6014305.073,9796612.497,4.5,180,1
0,1,999,254.1147,0,254.1147,0,254.1147,254.1147,0,28829642,0,11.875,30,1
0,1,999,254.1149,0,254.1149,0,254.1149,254.1149,0,693379392,0,4.5,30,1
0,3,333,254.1147,17.0264,254.1147,17.0264,212.093,234.432,17.25780529,9359061.333,9843718.916,11.875,45,1
0,3,333,254.115,17.0264,254.115,17.0264,212.0932,234.4322667,17.25784843,207220860.3,231087910.7,4.5,45,1
0,12,83.25,237.0883,9.9843,254.1149,17.0266,104.0495,197.4109333,40.30651051,2308302.008,3598802.583,11.875,60,1
0,12,83.25,237.0884,9.9843,254.115,17.0266,104.0495,197.411025,40.30653684,49032770.58,81644074.38,4.5,60,1
0,28,35.67857143,237.0882,9.9843,254.1147,17.0265,67.029,160.4195,49.91315075,1081995.961,1670173.793,11.875,75,1
0,24,41.625,237.0885,9.9843,254.1151,17.0266,82.04,168.2308833,47.69583189,22495445.12,33118529.41,4.5,75,1
0,33,30.27272727,104.0494,1.0078,237.0882,17.0266,53.0386,138.809603,49.24957841,941361.5394,1667097.934,11.875,90,1
0,36,27.75,104.0495,1.0078,254.1151,17.0266,55.0291,144.4431028,51.17671911,13719901.97,24245445.44,4.5,90,1
0,1,999,254.1148,0,254.1148,0,254.1148,254.1148,0,911.4,0,5.203,10,1
0,37,27,77.0445,1.0093,142.0553,1.0084,38.0163,86.71147027,25.70604198,3.62972973,6.966400632,5.203,100,1
0,29,34.44827586,77.0441,1.0089,141.0459,24.998,38.0165,83.44697586,22.2750114,3.737931034,6.547040068,5.203,110,1
0,29,34.44827586,77.0445,1.0098,115.0435,1.0072,43.0409,80.96415862,18.22188269,2.396551724,4.230633992,5.203,120,1
0,25,39.96,77.0445,1.0103,115.0435,1.009,38.0186,79.188564,20.08591746,2.04,3.322167967,5.203,130,1
0,15,66.6,77.0444,1.0203,114.0379,24.9958,43.0421,76.16342,16.54873568,1.906666667,1.7597222,5.203,140,1
0,21,47.57142857,77.0432,1.01,99.0161,0.998,38.0144,73.40703333,16.00153535,1.49047619,1.497586872,5.203,150,1
0,2,499.5,254.1137,17.026,254.1137,17.026,237.0877,245.6007,8.513,306.05,257.75,5.203,20,1
0,11,90.81818182,254.1149,17.0266,254.1149,17.0266,104.0513,191.9839273,44.67104074,76.10909091,132.2709166,5.203,30,1
0,20,49.95,237.0883,9.985,254.1156,17.0273,77.0432,168.265525,49.67754153,49.73,76.07429987,5.203,40,1
